,Year,Date,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
257,2001,2001-05-12,484,Eskilstuna,80,0.008,5,12,10.3,3.0
258,2001,2001-05-13,1402,Partille,2,0.0002,5,13,10.7,3.0
259,2001,2001-05-13,180,Stockholm,10,0.001,5,13,14.75,3.0
260,2001,2001-05-13,180,Stockholm,5,0.0005,5,13,14.75,3.0
261,2001,2001-05-13,182,Nacka,200,0.02,5,13,13.8,3.0
262,2001,2001-05-13,2062,Mora,600,0.06,5,13,13.258333333333333,3.0
263,2001,2001-05-13,1814,Lekeberg,150,0.015,5,13,9.725,2.75
264,2001,2001-05-15,662,Gislaved,5,0.0005,5,15,10.23,3.0
265,2001,2001-05-22,1862,Degerfors,8,0.0008,5,22,7.275,2.5
266,2001,2001-05-23,763,Tingsryd,30,0.003,5,23,21.130000000000003,4.3
267,2001,2001-05-23,580,Linköping,1,0.0001,5,23,14.283333333333333,3.0
268,2001,2001-05-24,1784,Arvika,20000,2.0,5,24,16.5375,3.25
269,2001,2001-05-24,180,Stockholm,2,0.0002,5,24,18.6,4.0
270,2001,2001-05-24,180,Stockholm,1,0.0001,5,24,18.6,4.0
271,2001,2001-05-24,882,Oskarshamn,1,0.0001,5,24,6.963636363636363,2.4545454545454546
272,2001,2001-05-25,763,Tingsryd,30,0.003,5,25,20.33,4.0
273,2001,2001-05-25,182,Nacka,4,0.0004,5,25,17.6,4.0
274,2001,2001-05-25,1480,Göteborg,1000,0.1,5,25,10.58,3.0
275,2001,2001-05-25,125,Ekerö,100,0.01,5,25,17.075,3.5
276,2001,2001-05-26,1481,Mölndal,1,0.0001,5,26,13.65,3.0
277,2001,2001-05-26,136,Haninge,2,0.0002,5,26,13.711111111111112,3.111111111111111
278,2001,2001-05-26,882,Oskarshamn,3500,0.35,5,26,13.263636363636364,3.1818181818181817
279,2001,2001-05-26,1883,Karlskoga,1,0.0001,5,26,16.924999999999997,3.5
